causa_de_muerte;sexo;periodo;muertes;poblacion;tasa_mortalidad;causa_muerte_categoría
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;1999;1785;2753555;64.83;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2000;1733;2810300;61.67;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2001;1852;2872106;64.48;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2002;1910;2940001;64.97;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2003;2067;2989967;69.13;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2004;2126;3013230;70.56;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2005;2342;3020568;77.54;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2006;2186;3093602;70.66;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2007;2401;3133315;76.63;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2008;2393;3179764;75.26;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2009;2164;3252782;66.53;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2010;2082;3325137;62.61;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2011;1974;3406554;57.95;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2012;2072;3475406;59.62;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2013;1982;3535710;56.06;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2014;2185;3617044;60.41;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2015;2684;3684229;72.85;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2016;2406;3732871;64.45;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2017;2464;3789274;65.03;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2018;2419;3854490;62.76;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2019;2300;3920576;58.66;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2020;37448;3991916;938.1;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2021;22022;4038757;545.27;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2022;17948;4117903;435.85;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;2023;6566;4298082;152.77;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1980;848;2443783;34.7;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1981;838;2507533;33.42;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1982;764;2558996;29.86;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1983;795;2610435;30.45;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1984;832;2661599;31.26;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1985;883;2708744;32.6;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1986;911;2774358;32.84;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1987;1026;2838657;36.14;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1988;1067;2922024;36.52;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1989;1212;2996228;40.45;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1990;1277;3074174;41.54;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1991;1354;3150162;42.98;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1992;1433;3228046;44.39;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1993;1531;3304288;46.33;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1994;1568;3387822;46.28;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1995;1691;3470349;48.73;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1996;1628;3560364;45.73;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1997;1689;3640110;46.4;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1998;1906;3728866;51.11;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;1999;1932;3812216;50.68;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2000;1953;3881389;50.32;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2001;2082;3954545;52.65;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2002;2232;4040546;55.24;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2003;2586;4102873;63.03;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2004;2519;4133445;60.94;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2005;2615;4149317;63.02;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2006;2626;4230548;62.07;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2007;2984;4273845;69.82;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2008;3083;4326531;71.26;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2009;2679;4405185;60.81;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2010;2585;4485264;57.63;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2011;2629;4576443;57.45;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2012;2750;4652634;59.11;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2013;2660;4717212;56.39;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2014;2781;4805632;57.87;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2015;3417;4880385;70.01;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2016;3341;4931332;67.75;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2017;3186;4995025;63.78;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2018;2864;5063964;56.56;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2019;2774;5136347;54.01;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2020;37106;5219522;710.91;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2021;18697;5272727;354.6;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2022;17429;5363899;324.93;I. Infecciosas
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;2023;6959;5610155;124.04;I. Infecciosas
009-041  II.Tumores;Hombres;1980;20798;1684490;1234.68;II. Tumores
009-041  II.Tumores;Hombres;1981;21503;1721573;1249.03;II. Tumores
009-041  II.Tumores;Hombres;1982;22184;1748866;1268.48;II. Tumores
009-041  II.Tumores;Hombres;1983;22980;1777165;1293.07;II. Tumores
009-041  II.Tumores;Hombres;1984;24321;1804686;1347.66;II. Tumores
009-041  II.Tumores;Hombres;1985;25698;1833591;1401.51;II. Tumores
009-041  II.Tumores;Hombres;1986;26503;1879026;1410.46;II. Tumores
009-041  II.Tumores;Hombres;1987;27946;1940681;1440.01;II. Tumores
009-041  II.Tumores;Hombres;1988;29281;2007437;1458.63;II. Tumores
009-041  II.Tumores;Hombres;1989;30357;2072463;1464.78;II. Tumores
009-041  II.Tumores;Hombres;1990;31759;2136519;1486.48;II. Tumores
009-041  II.Tumores;Hombres;1991;32646;2197924;1485.31;II. Tumores
009-041  II.Tumores;Hombres;1992;33712;2264728;1488.57;II. Tumores
009-041  II.Tumores;Hombres;1993;35676;2328741;1531.99;II. Tumores
009-041  II.Tumores;Hombres;1994;37006;2397576;1543.48;II. Tumores
009-041  II.Tumores;Hombres;1995;38036;2466010;1542.41;II. Tumores
009-041  II.Tumores;Hombres;1996;38628;2540147;1520.7;II. Tumores
009-041  II.Tumores;Hombres;1997;40034;2609082;1534.41;II. Tumores
009-041  II.Tumores;Hombres;1998;41119;2683704;1532.17;II. Tumores
009-041  II.Tumores;Hombres;1999;42232;2753555;1533.73;II. Tumores
009-041  II.Tumores;Hombres;2000;42598;2810300;1515.78;II. Tumores
009-041  II.Tumores;Hombres;2001;44549;2872106;1551.09;II. Tumores
009-041  II.Tumores;Hombres;2002;44442;2940001;1511.63;II. Tumores
009-041  II.Tumores;Hombres;2003;45397;2989967;1518.31;II. Tumores
009-041  II.Tumores;Hombres;2004;45729;3013230;1517.61;II. Tumores
009-041  II.Tumores;Hombres;2005;45628;3020568;1510.58;II. Tumores
009-041  II.Tumores;Hombres;2006;45867;3093602;1482.64;II. Tumores
009-041  II.Tumores;Hombres;2007;46858;3133315;1495.48;II. Tumores
009-041  II.Tumores;Hombres;2008;46852;3179764;1473.44;II. Tumores
009-041  II.Tumores;Hombres;2009;47674;3252782;1465.64;II. Tumores
009-041  II.Tumores;Hombres;2010;48838;3325137;1468.75;II. Tumores
009-041  II.Tumores;Hombres;2011;49819;3406554;1462.45;II. Tumores
009-041  II.Tumores;Hombres;2012;50976;3475406;1466.76;II. Tumores
009-041  II.Tumores;Hombres;2013;50928;3535710;1440.39;II. Tumores
009-041  II.Tumores;Hombres;2014;50849;3617044;1405.82;II. Tumores
009-041  II.Tumores;Hombres;2015;51417;3684229;1395.6;II. Tumores
009-041  II.Tumores;Hombres;2016;52302;3732871;1401.12;II. Tumores
009-041  II.Tumores;Hombres;2017;52573;3789274;1387.42;II. Tumores
009-041  II.Tumores;Hombres;2018;52087;3854490;1351.33;II. Tumores
009-041  II.Tumores;Hombres;2019;52493;3920576;1338.91;II. Tumores
009-041  II.Tumores;Hombres;2020;52022;3991916;1303.18;II. Tumores
009-041  II.Tumores;Hombres;2021;52855;4038757;1308.69;II. Tumores
009-041  II.Tumores;Hombres;2022;53210;4117903;1292.16;II. Tumores
009-041  II.Tumores;Hombres;2023;53913;4298082;1254.35;II. Tumores
009-041  II.Tumores;Mujeres;1980;15362;2443783;628.62;II. Tumores
009-041  II.Tumores;Mujeres;1981;15287;2507533;609.64;II. Tumores
009-041  II.Tumores;Mujeres;1982;15970;2558996;624.07;II. Tumores
009-041  II.Tumores;Mujeres;1983;16453;2610435;630.28;II. Tumores
009-041  II.Tumores;Mujeres;1984;17262;2661599;648.56;II. Tumores
009-041  II.Tumores;Mujeres;1985;18120;2708744;668.94;II. Tumores
009-041  II.Tumores;Mujeres;1986;18839;2774358;679.04;II. Tumores
009-041  II.Tumores;Mujeres;1987;19452;2838657;685.25;II. Tumores
009-041  II.Tumores;Mujeres;1988;20151;2922024;689.62;II. Tumores
009-041  II.Tumores;Mujeres;1989;20567;2996228;686.43;II. Tumores
009-041  II.Tumores;Mujeres;1990;21208;3074174;689.88;II. Tumores
009-041  II.Tumores;Mujeres;1991;21760;3150162;690.76;II. Tumores
009-041  II.Tumores;Mujeres;1992;22153;3228046;686.27;II. Tumores
009-041  II.Tumores;Mujeres;1993;23137;3304288;700.21;II. Tumores
009-041  II.Tumores;Mujeres;1994;23809;3387822;702.78;II. Tumores
009-041  II.Tumores;Mujeres;1995;24637;3470349;709.93;II. Tumores
009-041  II.Tumores;Mujeres;1996;24747;3560364;695.07;II. Tumores
009-041  II.Tumores;Mujeres;1997;25308;3640110;695.25;II. Tumores
009-041  II.Tumores;Mujeres;1998;25916;3728866;695.01;II. Tumores
009-041  II.Tumores;Mujeres;1999;26438;3812216;693.51;II. Tumores
009-041  II.Tumores;Mujeres;2000;27069;3881389;697.4;II. Tumores
009-041  II.Tumores;Mujeres;2001;27528;3954545;696.11;II. Tumores
009-041  II.Tumores;Mujeres;2002;27766;4040546;687.18;II. Tumores
009-041  II.Tumores;Mujeres;2003;28395;4102873;692.08;II. Tumores
009-041  II.Tumores;Mujeres;2004;28336;4133445;685.53;II. Tumores
009-041  II.Tumores;Mujeres;2005;28219;4149317;680.09;II. Tumores
009-041  II.Tumores;Mujeres;2006;29058;4230548;686.86;II. Tumores
009-041  II.Tumores;Mujeres;2007;29238;4273845;684.11;II. Tumores
009-041  II.Tumores;Mujeres;2008;29587;4326531;683.85;II. Tumores
009-041  II.Tumores;Mujeres;2009;30114;4405185;683.6;II. Tumores
009-041  II.Tumores;Mujeres;2010;30894;4485264;688.79;II. Tumores
009-041  II.Tumores;Mujeres;2011;31831;4576443;695.54;II. Tumores
009-041  II.Tumores;Mujeres;2012;32139;4652634;690.77;II. Tumores
009-041  II.Tumores;Mujeres;2013;32602;4717212;691.13;II. Tumores
009-041  II.Tumores;Mujeres;2014;32599;4805632;678.35;II. Tumores
009-041  II.Tumores;Mujeres;2015;33027;4880385;676.73;II. Tumores
009-041  II.Tumores;Mujeres;2016;33579;4931332;680.93;II. Tumores
009-041  II.Tumores;Mujeres;2017;33885;4995025;678.37;II. Tumores
009-041  II.Tumores;Mujeres;2018;33725;5063964;665.98;II. Tumores
009-041  II.Tumores;Mujeres;2019;34157;5136347;665.01;II. Tumores
009-041  II.Tumores;Mujeres;2020;34548;5219522;661.9;II. Tumores
009-041  II.Tumores;Mujeres;2021;35035;5272727;664.46;II. Tumores
009-041  II.Tumores;Mujeres;2022;35973;5363899;670.65;II. Tumores
009-041  II.Tumores;Mujeres;2023;36499;5610155;650.59;II. Tumores
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1980;174;1684490;10.33;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1981;185;1721573;10.75;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1982;176;1748866;10.06;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1983;198;1777165;11.14;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1984;213;1804686;11.8;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1985;274;1833591;14.94;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1986;263;1879026;14;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1987;323;1940681;16.64;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1988;312;2007437;15.54;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1989;360;2072463;17.37;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1990;389;2136519;18.21;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1991;426;2197924;19.38;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1992;373;2264728;16.47;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1993;417;2328741;17.91;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1994;428;2397576;17.85;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1995;400;2466010;16.22;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1996;417;2540147;16.42;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1997;460;2609082;17.63;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1998;466;2683704;17.36;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;1999;384;2753555;13.95;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2000;379;2810300;13.49;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2001;330;2872106;11.49;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2002;395;2940001;13.44;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2003;398;2989967;13.31;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2004;426;3013230;14.14;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2005;441;3020568;14.6;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2006;403;3093602;13.03;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2007;419;3133315;13.37;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2008;429;3179764;13.49;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2009;473;3252782;14.54;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2010;518;3325137;15.58;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2011;506;3406554;14.85;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2012;534;3475406;15.37;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2013;552;3535710;15.61;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2014;657;3617044;18.16;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2015;723;3684229;19.62;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2016;663;3732871;17.76;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2017;724;3789274;19.11;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2018;742;3854490;19.25;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2019;757;3920576;19.31;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2020;758;3991916;18.99;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2021;835;4038757;20.67;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2022;837;4117903;20.33;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Hombres;2023;821;4298082;19.10;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1980;219;2443783;8.96;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1981;262;2507533;10.45;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1982;242;2558996;9.46;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1983;266;2610435;10.19;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1984;296;2661599;11.12;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1985;316;2708744;11.67;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1986;360;2774358;12.98;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1987;349;2838657;12.29;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1988;369;2922024;12.63;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1989;455;2996228;15.19;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1990;457;3074174;14.87;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1991;548;3150162;17.4;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1992;490;3228046;15.18;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1993;554;3304288;16.77;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1994;554;3387822;16.35;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1995;599;3470349;17.26;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1996;588;3560364;16.52;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1997;596;3640110;16.37;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1998;664;3728866;17.81;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;1999;574;3812216;15.06;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2000;615;3881389;15.84;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2001;601;3954545;15.2;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2002;665;4040546;16.46;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2003;662;4102873;16.14;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2004;675;4133445;16.33;III. Sangre
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Mujeres;2005;688;4149317;16.58;III. Sangre
